PERMNO,date,TICKER,COMNAM,NAICS,CUSIP,PRC
65875,30/06/2009,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,30.73
65875,31/07/2009,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,32.07
65875,31/08/2009,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,31.04
65875,30/09/2009,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,30.27
65875,30/10/2009,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,29.59
65875,30/11/2009,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,31.46
65875,31/12/2009,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,33.13
65875,29/01/2010,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,29.42
65875,26/02/2010,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,28.93
65875,31/03/2010,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,31.02
65875,30/04/2010,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,28.9
65875,28/05/2010,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,27.52
65875,30/06/2010,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,28.02
65875,30/07/2010,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,29.06
65875,31/08/2010,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,29.53
65875,30/09/2010,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,32.59
65875,29/10/2010,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,32.48
65875,30/11/2010,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,32.01
65875,31/12/2010,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,35.78
65875,31/01/2011,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,35.62
65875,28/02/2011,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,36.92
65875,31/03/2011,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,38.54
65875,29/04/2011,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,37.78
65875,31/05/2011,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,36.93
65875,30/06/2011,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,37.23
65875,29/07/2011,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,35.29
65875,31/08/2011,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,36.165
65875,30/09/2011,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,36.8
65875,31/10/2011,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,36.98
65875,30/11/2011,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,37.73
65875,30/12/2011,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,40.12
65875,31/01/2012,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,37.66
65875,29/02/2012,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,38.11
65875,30/03/2012,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,38.23
65875,30/04/2012,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,40.38
65875,31/05/2012,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,41.64
65875,29/06/2012,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,44.44
65875,31/07/2012,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,45.14
65875,31/08/2012,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,42.94
65875,28/09/2012,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,45.57
65875,31/10/2012,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,44.64
65875,30/11/2012,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,44.12
